PID	PPID	ImageFileName	Offset	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime
4	0	System	0xfa800371b890	150	3000	0	False	2025-02-09 01:00:12 UTC	N/A
312	4	smss.exe	0xfa8003780060	2	30	0	False	2025-02-09 01:00:14 UTC	N/A
456	312	csrss.exe	0xfa8003998888	12	500	0	False	2025-02-09 01:00:16 UTC	N/A
612	600	wininit.exe	0xfa8004000000	5	100	0	False	2025-02-09 01:00:18 UTC	N/A
768	1000	Discord.exe	0xfa8005000000	25	1500	1	False	2025-02-09 01:00:20 UTC	N/A
892	1000	Slack.exe	0xfa8005001000	22	1200	1	False	2025-02-09 01:00:22 UTC	N/A
1024	1000	chrome.exe	0xfa8005002000	15	450	1	False	2025-02-09 02:15:30 UTC	N/A
1156	1024	chrome.exe	0xfa8005003000	12	300	1	False	2025-02-09 02:15:32 UTC	N/A
2780	1000	BitTorrent.exe	0xfa8005004000	45	2000	1	False	2025-02-09 01:00:24 UTC	N/A
3010	1000	AnyDesk.exe	0xfa8005005000	18	600	1	False	2025-02-09 06:15:30 UTC	N/A
3200	1000	Zoom.exe	0xfa8005006000	30	900	1	False	2025-02-09 01:00:28 UTC	N/A
3456	1000	Notion.exe	0xfa8005007000	20	800	1	False	2025-02-09 04:12:05 UTC	N/A
3700	1	Docker.exe	0xfa8005008000	50	1500	1	False	2025-02-09 07:00:00 UTC	N/A
