# BANNER FILE NOT PROVIDED (-b option)
# BULK_EXTRACTOR-Version: 2.0.2
# Feature-Recorder: domain
# Filename: Evidence\case1.dmp
# Histogram-File-Version: 1.1
n=1253	www.youtube.com
n=1016	www.google.com
n=706	www.w3.org
n=542	github.com
n=258	google.com
n=255	113.0.0.0
n=250	crbug.com
n=231	www.naver.com
n=212	www.chromium.org
n=209	comic.naver.com
n=182	youtube.com
n=170	developer.chrome.com
n=163	accounts.google.com
n=144	en.wikipedia.org
n=136	polymer.github.io
n=127	mail.google.com
n=126	www.apache.org
n=121	www.gstatic.com
n=112	github.githubassets.com
n=106	support.google.com
n=100	www.bing.com
n=98	web.dev
n=90	search.goo.ne.jp
n=90	www.baidu.com
n=90	www.neti.ee
n=77	forensic.korea.ac.kr
n=72	duckduckgo.com
n=72	nova.rambler.ru
n=72	search.avg.com
n=72	search.iminent.com
n=72	www.googleapis.com
n=71	ogs.google.com
n=69	developers.google.com
n=62	chromium.org
n=60	search.yahoo.com
n=55	gmail.com	(utf16=11)
n=55	yt3.ggpht.com
n=54	ar.search.yahoo.com
n=54	at.search.yahoo.com
n=54	au.search.yahoo.com
n=54	br.search.yahoo.com
n=54	buscador.terra.es
n=54	ca.search.yahoo.com
n=54	ch.search.yahoo.com
n=54	cl.search.yahoo.com
n=54	co.search.yahoo.com
n=54	de.search.yahoo.com
n=54	es.search.yahoo.com
n=54	fr.search.yahoo.com
n=54	go.mail.ru
n=54	hk.search.yahoo.com
n=54	id.search.yahoo.com
n=54	in.search.yahoo.com
n=54	malaysia.search.yahoo.com
n=54	mx.search.yahoo.com
n=54	nl.search.yahoo.com
n=54	nz.search.yahoo.com
n=54	pe.search.yahoo.com
n=54	ph.search.yahoo.com
n=54	qc.search.yahoo.com
n=54	search.babylon.com
n=54	search.incredibar.com
n=54	search.softonic.com
n=54	searchatlas.centrum.cz
n=54	sg.search.yahoo.com
n=54	start.sweetpacks.com
n=54	th.search.yahoo.com
n=54	tw.search.yahoo.com
n=54	uk.search.yahoo.com
n=54	ve.search.yahoo.com
n=54	vn.search.yahoo.com
n=54	www.delfi.lt
n=54	www.delta-search.com
n=54	www.givero.com
n=54	www.zoznam.sk
n=53	recruit.webtoonscorp.com
n=52	www.unicode.org
n=50	www.microsoft.com
n=45	dequeuniversity.com
n=40	search.daum.net
n=39	www.ecma-international.org
n=38	developer.mozilla.org
n=38	example.com
n=38	geun-yeong.tistory.com
n=38	www.chromestatus.com
n=38	yandex.ru
n=37	goo.gl
n=37	yandex.com
n=36	buscador.softonic.com
n=36	buscar.terra.com.ar
n=36	coccoc.com
n=36	dk.search.yahoo.com
n=36	en.softonic.com
n=36	fi.search.yahoo.com
n=36	find.in.gr
n=36	hladaj.atlas.sk
n=36	isearch.avg.com
n=36	m.so.com
n=36	metager.de
n=36	mixidj.delta-search.com
n=36	nigma.ru
n=36	nl.softonic.com
n=36	oceanhero.today
n=36	ok.hu
n=36	pesquisa.sapo.pt
n=36	se.search.yahoo.com
n=36	search.imesh.net
n=36	search.seznam.cz
n=36	search.seznam.sk
n=36	search.sweetim.com
n=36	search.tut.by
n=36	search.walla.co.il
n=36	search.yahoo.co.jp
n=36	searchfunmoods.com
n=36	start.iminent.com
n=36	suggest.yandex.ru
n=36	tr.search.yahoo.com
n=36	www.conduit.com
n=36	www.ecosia.org
n=36	www.info.com
n=36	www.privacywall.org
n=36	www.qwant.com
n=36	www.search.delta-search.com
n=36	www.searchnu.com
n=36	www.so.com
